home_ownership,last_pymnt_d,total_payment
OWN,2011-08-01,112683.15
OTHER,2011-08-01,1370.41
MORTGAGE,2011-08-01,552935.23
RENT,2011-07-01,494284.64
OWN,2011-07-01,62315.93
OTHER,2011-07-01,9376.41
MORTGAGE,2011-07-01,639315.2
RENT,2011-06-01,480971.79
OWN,2011-06-01,110529.9
OTHER,2011-06-01,746.21
MORTGAGE,2011-06-01,675298.1
RENT,2011-05-01,517614.4
OWN,2011-05-01,93949.77
OTHER,2011-05-01,7976.45
MORTGAGE,2011-05-01,849654.99
RENT,2011-04-01,532691.76
OWN,2011-04-01,110024.78
OTHER,2011-04-01,3555.65
MORTGAGE,2011-04-01,831016.23
RENT,2011-03-01,693941.2
OWN,2011-03-01,185406.38
OTHER,2011-03-01,2403.02
MORTGAGE,2011-03-01,754101.44
RENT,2011-02-01,520747.02
OWN,2011-02-01,108453.24
OTHER,2011-02-01,8213.33
NONE,2011-02-01,313.59
MORTGAGE,2011-02-01,510732.24
RENT,2011-01-01,420396.62
OWN,2011-01-01,64146.01
MORTGAGE,2011-01-01,330642.5
RENT,2010-12-01,327945.1
OWN,2010-12-01,79981.68
MORTGAGE,2010-12-01,330411.09
RENT,2010-11-01,255534.44
OWN,2010-11-01,61807.19
OTHER,2010-11-01,19077.75
MORTGAGE,2010-11-01,238705.14
RENT,2010-10-01,312741.61
OWN,2010-10-01,111225.34
OTHER,2010-10-01,12152.21
MORTGAGE,2010-10-01,326852.18
RENT,2010-09-01,180919.84
OWN,2010-09-01,61709.56
OTHER,2010-09-01,258.68
NONE,2010-09-01,219.56
MORTGAGE,2010-09-01,230576.28
RENT,2010-08-01,155166.41
OWN,2010-08-01,75251.42
OTHER,2010-08-01,2532.45
MORTGAGE,2010-08-01,188857.34
RENT,2010-07-01,257909.09
OWN,2010-07-01,30785.85
OTHER,2010-07-01,6971.47
MORTGAGE,2010-07-01,313961.01
RENT,2010-06-01,189129.32
OWN,2010-06-01,25949.37
OTHER,2010-06-01,3929.01
MORTGAGE,2010-06-01,138622.5
RENT,2010-05-01,78186.57
OWN,2010-05-01,33208.32
OTHER,2010-05-01,4419.02
MORTGAGE,2010-05-01,190418.93
RENT,2010-04-01,173910.09
OWN,2010-04-01,53238.86
MORTGAGE,2010-04-01,183848.43
RENT,2010-03-01,283335.16
OWN,2010-03-01,66703.18
OTHER,2010-03-01,20621.37
MORTGAGE,2010-03-01,201307.15
RENT,2010-02-01,112243.86
OWN,2010-02-01,666401.34
OTHER,2010-02-01,1534.49
MORTGAGE,2010-02-01,180009.78
RENT,2010-01-01,165719.53
OWN,2010-01-01,21116.47
MORTGAGE,2010-01-01,96394.16
RENT,2009-12-01,153007.12
OWN,2009-12-01,27155.39
OTHER,2009-12-01,14660.84
MORTGAGE,2009-12-01,117418.88
RENT,2009-11-01,108387.66
OWN,2009-11-01,28453.82
OTHER,2009-11-01,13854.69
MORTGAGE,2009-11-01,117201.64
RENT,2009-10-01,147859.05
OWN,2009-10-01,21102.35
OTHER,2009-10-01,565.02
MORTGAGE,2009-10-01,68973.47
RENT,2009-09-01,19117.72
OWN,2009-09-01,118.55
OTHER,2009-09-01,4931.27
MORTGAGE,2009-09-01,99938.95
RENT,2009-08-01,64178.64
OWN,2009-08-01,1174.8
MORTGAGE,2009-08-01,119796.71
RENT,2009-07-01,89511.15
OWN,2009-07-01,6761.6
OTHER,2009-07-01,1385.63
MORTGAGE,2009-07-01,87243.41
RENT,2009-06-01,71454.68
OWN,2009-06-01,654.25
OTHER,2009-06-01,829.88
MORTGAGE,2009-06-01,62967.99
RENT,2009-05-01,75736.66
OWN,2009-05-01,18658.51
MORTGAGE,2009-05-01,47143.83
